Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/SuperVision/Manuals/!!System Manual (Watara Supervision).pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2F%21%21System%20Manual%20%28Watara%20Supervision%29.pdf,941720,4170a954da051a76f1c4ff047644e16e,,,!!System Manual (Watara Supervision).pdf
docs/SuperVision/Manuals/Alien.pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2FAlien.pdf,601507,cca5e4102ea041ca17037525ad0067d0,,,Alien.pdf
docs/SuperVision/Manuals/Balloon Fight.pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2FBalloon%20Fight.pdf,624343,ab51a70de2c5b609fe290d97384947af,,,Balloon Fight.pdf
docs/SuperVision/Manuals/Block Buster.pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2FBlock%20Buster.pdf,632871,66f2e814d3b2bb5ec6355c5bfd6254c8,,,Block Buster.pdf
docs/SuperVision/Manuals/Brain Power.pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2FBrain%20Power.pdf,619835,c2e72d491fc143a1356a67497dc4bcfe,,,Brain Power.pdf
docs/SuperVision/Manuals/Bubble World.pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2FBubble%20World.pdf,959218,caa2d4a3de54a3a45cd35906ab782d10,,,Bubble World.pdf
docs/SuperVision/Manuals/Carrier.pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2FCarrier.pdf,292495,1e88970991881090aec2774eb3848b8f,,,Carrier.pdf
docs/SuperVision/Manuals/Challenger Tank.pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2FChallenger%20Tank.pdf,348847,dacfcdc583625e092cdd973a1551a08a,,,Challenger Tank.pdf
docs/SuperVision/Manuals/Chimera.pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2FChimera.pdf,858781,e32275ff2a1ec0ceb219f5029c0c5d9d,,,Chimera.pdf
docs/SuperVision/Manuals/Chinese Checkers.pdf,https://archive.org/download/mister-manuals/1992_Watara%20SuperVision.zip/1992_Watara%20SuperVision%2FChinese%20Checkers.pdf,655267,8ce47e6468fa3b622ee3b8084542370b,,,Chinese Checkers.pdf
